NO	Lat	Location	Lon	Pl
134	25.00368	台北盆地	121.4232	0
135	25.00724	台北盆地	121.4234	0
136	24.98601	台北盆地	121.4237	0
137	25.00367	台北盆地	121.4237	0
138	24.98552	台北盆地	121.4238	0
139	24.98762	台北盆地	121.4238	0
140	24.98576	台北盆地	121.4239	0
141	25.00672	台北盆地	121.424	0
142	24.98493	台北盆地	121.4242	0
143	25.00627	台北盆地	121.4245	0
144	25.00513	台北盆地	121.4265	0
145	25.00371	台北盆地	121.4267	0
146	24.98065	台北盆地	121.4272	0
147	24.99224	台北盆地	121.4273	0
148	24.97987	台北盆地	121.4277	0
149	24.99262	台北盆地	121.428	0
150	24.99299	台北盆地	121.4282	0
151	24.99347	台北盆地	121.4283	0
152	25.00379	台北盆地	121.4285	0
153	24.98051	台北盆地	121.4296	0
154	24.99607	台北盆地	121.4305	0
155	25.00197	台北盆地	121.4313	0
156	25.00099	台北盆地	121.4321	0
157	25.0004	台北盆地	121.4325	0
158	24.96529	台北盆地	121.4326	0
159	24.99957	台北盆地	121.4328	0
160	24.9818	台北盆地	121.4347	0
161	24.97976	台北盆地	121.4364	0
162	24.96829	台北盆地	121.4428	0
163	25.07045	台北盆地	121.4455	0
164	24.97048	台北盆地	121.4455	0
165	24.9687	台北盆地	121.446	0
166	24.97179	台北盆地	121.4462	0
167	24.97263	台北盆地	121.4466	0
168	25.07188	台北盆地	121.4484	0
169	25.03486	台北盆地	121.452	0
170	25.03652	台北盆地	121.4537	0
171	25.03671	台北盆地	121.4547	0
172	25.00505	台北盆地	121.4565	0
173	25.03712	台北盆地	121.4573	0
174	24.97571	台北盆地	121.458	0
175	24.97506	台北盆地	121.459	0
176	24.97707	台北盆地	121.4597	0
177	25.05309	台北盆地	121.46	0
178	25.04964	台北盆地	121.46	0
179	25.075	台北盆地	121.4607	0
180	24.97977	台北盆地	121.4625	0
181	25.02832	台北盆地	121.4648	0
182	25.02546	台北盆地	121.4663	0
183	25.04387	台北盆地	121.4674	0
184	25.02217	台北盆地	121.468	0
185	25.04589	台北盆地	121.4705	0
186	25.04674	台北盆地	121.4722	0
187	25.01251	台北盆地	121.4764	0
188	25.01054	台北盆地	121.4793	0
189	25.00953	台北盆地	121.4817	0
190	25.00906	台北盆地	121.4823	0
191	24.98857	台北盆地	121.4835	0
192	25.0237	台北盆地	121.485	0
193	25.0889	台北盆地	121.4864	0
194	25.01307	台北盆地	121.4878	0
195	25.08944	台北盆地	121.4883	0
196	25.02751	台北盆地	121.4895	0
197	25.0052	台北盆地	121.4899	0
198	25.08911	台北盆地	121.491	0
199	25.00796	台北盆地	121.4928	0
200	25.10921	台北盆地	121.4953	0
201	25.08579	台北盆地	121.4961	0
202	24.9954	台北盆地	121.4962	0
203	25.08497	台北盆地	121.4983	0
204	25.13387	台北盆地	121.4985	0
205	25.0627	台北盆地	121.4989	0
206	24.9945	台北盆地	121.4998	0
207	25.12932	台北盆地	121.5019	0
208	25.12005	台北盆地	121.5021	0
209	25.01155	台北盆地	121.5029	0
210	25.02018	台北盆地	121.5042	0
211	24.99804	台北盆地	121.5046	0
212	24.99842	台北盆地	121.5048	0
213	25.12573	台北盆地	121.5063	0
214	25.02095	台北盆地	121.5065	0
215	25.12585	台北盆地	121.5065	0
216	25.02017	台北盆地	121.5065	0
217	25.08573	台北盆地	121.5066	0
218	25.126	台北盆地	121.5068	0
219	25.02229	台北盆地	121.5083	0
220	25.07835	台北盆地	121.5108	0
221	25.07846	台北盆地	121.5114	0
222	25.00561	台北盆地	121.5145	0
223	25.06308	台北盆地	121.5162	0
224	24.97706	台北盆地	121.5168	0
225	24.97666	台北盆地	121.5168	0
226	24.977	台北盆地	121.517	0
227	24.97653	台北盆地	121.5173	0
228	24.96847	台北盆地	121.523	0
229	24.96869	台北盆地	121.5244	0
230	24.96934	台北盆地	121.5246	0
231	24.99031	台北盆地	121.528	0
232	25.09562	台北盆地	121.5298	0
233	25.09581	台北盆地	121.5299	0
234	25.0959	台北盆地	121.53	0
235	25.09582	台北盆地	121.5301	0
236	25.09562	台北盆地	121.5301	0
237	25.09586	台北盆地	121.5303	0
238	25.09604	台北盆地	121.5306	0
239	25.09637	台北盆地	121.5306	0
240	25.09591	台北盆地	121.5306	0
241	25.09612	台北盆地	121.5308	0
242	24.96221	台北盆地	121.531	0
243	25.10956	台北盆地	121.5313	0
244	25.10946	台北盆地	121.5314	0
245	24.98858	台北盆地	121.5318	0
246	25.07307	台北盆地	121.532	0
247	25.09645	台北盆地	121.5323	0
248	24.98671	台北盆地	121.5333	0
249	24.98765	台北盆地	121.5335	0
250	24.98592	台北盆地	121.5335	0
251	24.9828	台北盆地	121.5365	0
252	25.01206	台北盆地	121.5368	0
253	25.09808	台北盆地	121.5385	0
254	25.06951	台北盆地	121.5443	0
255	25.07398	台北盆地	121.5444	0
256	25.07181	台北盆地	121.5444	0
257	25.07126	台北盆地	121.5446	0
258	24.9791	台北盆地	121.5452	0
259	24.97753	台北盆地	121.5459	0
260	24.9735	台北盆地	121.547	0
261	24.9735	台北盆地	121.547	0
262	25.07971	台北盆地	121.5472	0
263	24.97363	台北盆地	121.5483	0
264	25.08183	台北盆地	121.5487	0
265	24.97357	台北盆地	121.5495	0
266	25.08498	台北盆地	121.55	0
267	25.08576	台北盆地	121.5516	0
268	24.98069	台北盆地	121.5563	0
269	25.07315	台北盆地	121.5563	0
270	25.03291	台北盆地	121.5572	0
271	24.98074	台北盆地	121.5573	0
272	25.03287	台北盆地	121.5587	0
273	25.0332	台北盆地	121.5592	0
274	24.98149	台北盆地	121.5595	0
275	25.08501	台北盆地	121.5599	0
276	25.03288	台北盆地	121.5605	0
277	25.03271	台北盆地	121.5615	0
278	25.03275	台北盆地	121.5623	0
279	25.08384	台北盆地	121.5626	0
280	25.08354	台北盆地	121.5632	0
281	25.0331	台北盆地	121.5634	0
282	25.03119	台北盆地	121.5642	0
283	25.08292	台北盆地	121.5644	0
284	25.08266	台北盆地	121.565	0
285	24.98503	台北盆地	121.565	0
286	24.98516	台北盆地	121.5655	0
287	24.98591	台北盆地	121.5656	0
288	25.029	台北盆地	121.5658	0
289	25.029	台北盆地	121.5658	0
290	25.02928	台北盆地	121.5659	0
